OG_ID	NODE_ID	GENE_NUM	GAIN_NUM	BRN_NUM	DUP_NUM	TRN_NUM	LOS_NUM	TRN_DETAIL
OG0001254	insp4	0	0	0	0	0	0	
OG0001254	insp5	0	0	0	0	0	0	
OG0001255	N001	0	0	0	0	0	0	
OG0001255	N002	0	0	0	0	0	0	
OG0001255	outsp1	0	0	0	0	0	0	
OG0001255	outsp2	0	0	0	0	0	0	
OG0001255	N003	0	0	0	0	0	0	
OG0001255	N004	0	0	0	0	0	0	
OG0001255	insp1	0	0	0	0	0	0	
OG0001255	insp2	0	0	0	0	0	0	
OG0001255	N005	0	0	0	0	0	0	
OG0001255	insp3	1	1	1	0	0	0	
OG0001255	N006	0	0	0	0	0	0	
OG0001255	insp4	0	0	0	0	0	0	
OG0001255	insp5	0	0	0	0	0	0	
OG0001256	N001	0	0	0	0	0	0	
OG0001256	N002	0	0	0	0	0	0	
OG0001256	outsp1	0	0	0	0	0	0	
OG0001256	outsp2	0	0	0	0	0	0	
OG0001256	N003	0	0	0	0	0	0	
OG0001256	N004	0	0	0	0	0	0	
OG0001256	insp1	0	0	0	0	0	0	
OG0001256	insp2	0	0	0	0	0	0	
OG0001256	N005	0	0	0	0	0	0	
OG0001256	insp3	1	1	1	0	0	0	
OG0001256	N006	0	0	0	0	0	0	
OG0001256	insp4	0	0	0	0	0	0	
OG0001256	insp5	0	0	0	0	0	0	
OG0001257	N001	0	0	0	0	0	0	
OG0001257	N002	0	0	0	0	0	0	
OG0001257	outsp1	0	0	0	0	0	0	
OG0001257	outsp2	0	0	0	0	0	0	
OG0001257	N003	0	0	0	0	0	0	
OG0001257	N004	0	0	0	0	0	0	
OG0001257	insp1	0	0	0	0	0	0	
OG0001257	insp2	0	0	0	0	0	0	
OG0001257	N005	0	0	0	0	0	0	
OG0001257	insp3	1	1	1	0	0	0	
OG0001257	N006	0	0	0	0	0	0	
OG0001257	insp4	0	0	0	0	0	0	
OG0001257	insp5	0	0	0	0	0	0	
OG0001258	N001	0	0	0	0	0	0	
OG0001258	N002	0	0	0	0	0	0	
OG0001258	outsp1	0	0	0	0	0	0	
OG0001258	outsp2	0	0	0	0	0	0	
OG0001258	N003	0	0	0	0	0	0	
OG0001258	N004	0	0	0	0	0	0	
OG0001258	insp1	0	0	0	0	0	0	
OG0001258	insp2	0	0	0	0	0	0	
OG0001258	N005	0	0	0	0	0	0	
OG0001258	insp3	1	1	1	0	0	0	
OG0001258	N006	0	0	0	0	0	0	
OG0001258	insp4	0	0	0	0	0	0	
OG0001258	insp5	0	0	0	0	0	0	
OG0001259	N001	0	0	0	0	0	0	
OG0001259	N002	0	0	0	0	0	0	
OG0001259	outsp1	0	0	0	0	0	0	
